day,land,crop,ph,sun,humidity,richness,compatibility
1,1,Potato,7.124629385951043,5.963860237459289,22.27075796077454,96.29696466864483,42.772850978727426
1,1,Tomato,7.124629385951043,5.963860237459289,22.27075796077454,96.29696466864483,42.772850978727426
1,1,Barley,7.124629385951043,5.963860237459289,22.27075796077454,96.29696466864483,42.772850978727426
1,1,Corn,7.124629385951043,5.963860237459289,22.27075796077454,96.29696466864483,42.772850978727426
1,1,Carrot,7.124629385951043,5.963860237459289,22.27075796077454,96.29696466864483,42.772850978727426
1,2,Potato,6.364558854150342,7.891379127931796,62.02748160545363,98.17278806540095,46.657110947136964
1,2,Tomato,6.364558854150342,7.891379127931796,62.02748160545363,98.17278806540095,46.657110947136964
1,2,Barley,6.364558854150342,7.891379127931796,62.02748160545363,98.17278806540095,46.657110947136964
1,2,Corn,6.364558854150342,7.891379127931796,62.02748160545363,98.17278806540095,46.657110947136964
1,2,Carrot,6.364558854150342,7.891379127931796,62.02748160545363,98.17278806540095,46.657110947136964
1,3,Potato,6.079454769804681,10.446377855749496,11.745673022540606,51.809642633934274,41.68417356168086
1,3,Tomato,6.079454769804681,10.446377855749496,11.745673022540606,51.809642633934274,41.68417356168086
1,3,Barley,6.079454769804681,10.446377855749496,11.745673022540606,51.809642633934274,41.68417356168086
1,3,Corn,6.079454769804681,10.446377855749496,11.745673022540606,51.809642633934274,41.68417356168086
1,3,Carrot,6.079454769804681,10.446377855749496,11.745673022540606,51.809642633934274,41.68417356168086
2,1,Potato,6.535338783255703,9.05462126871043,11.028119232307372,66.30210475254448,41.468152552697475
2,1,Tomato,6.535338783255703,9.05462126871043,11.028119232307372,66.30210475254448,41.468152552697475
2,1,Barley,6.535338783255703,9.05462126871043,11.028119232307372,66.30210475254448,41.468152552697475
2,1,Corn,6.535338783255703,9.05462126871043,11.028119232307372,66.30210475254448,41.468152552697475
2,1,Carrot,6.535338783255703,9.05462126871043,11.028119232307372,66.30210475254448,41.468152552697475
2,2,Potato,6.352405939381684,5.182962542925365,38.05171471800023,58.70917457815248,41.47631264903512
2,2,Tomato,6.352405939381684,5.182962542925365,38.05171471800023,58.70917457815248,41.47631264903512
2,2,Barley,6.352405939381684,5.182962542925365,38.05171471800023,58.70917457815248,41.47631264903512
2,2,Corn,6.352405939381684,5.182962542925365,38.05171471800023,58.70917457815248,41.47631264903512
2,2,Carrot,6.352405939381684,5.182962542925365,38.05171471800023,58.70917457815248,41.47631264903512
